('NUMBER', 0)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 0)
('SHAPE', 1)
('SHAPE', 0)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 0)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 0)
('COLOR', 1)
('COLOR', 0)
('SHAPE', 1)
('SHAPE', 0)
('COLOR', 1)
('COLOR', 1)
('COLOR', 0)
('NUMBER', 0)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 0)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 0)
('NUMBER', 1)
('NUMBER', 0)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 0)
('NUMBER', 0)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 0)
('NUMBER', 1)
('NUMBER', 0)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 0)
('COLOR', 0)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 0)
('SHAPE', 1)
('SHAPE', 0)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 0)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 0)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 0)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 0)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 0)
('SHAPE', 0)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 0)
('NUMBER', 0)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 1)
('SHAPE', 0)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 1)
('COLOR', 0)
('NUMBER', 1)
('NUMBER', 1)
('NUMBER', 1)
